Date,Time,State,City,Location_Zone,Ride_Request,Available_Vehicle,Completed_Rides,Cancelled_Rides,Average_Wait_Time,Surge_Multiplier
2026-05-10,08:00:00,Maharashtra,Mumbai,Kurla,217,224,205,12,5.67,1.09
2026-06-09,10:00:00,Maharashtra,Mumbai,Powai,93,134,86,7,5.92,1.03
2026-06-19,14:00:00,Maharashtra,Mumbai,Bandra,98,124,93,5,6.62,1.03
2026-07-16,10:00:00,Maharashtra,Mumbai,Lower Parel,104,,101,3,5.38,1.0
2026-07-25,21:00:00,Maharashtra,Mumbai,Bandra,78,116,73,5,5.64,1.0
2026-07-07,15:00:00,Maharashtra,Mumbai,Powai,100,122,94,6,5.58,1.0
2026-07-12,08:00:00,Maharashtra,Mumbai,Dadar,107,118,94,13,6.53,1.01
2026-07-26,12:00:00,Maharashtra,Mumbai,Bandra,118,140,112,6,4.89,1.06
2026-07-21,19:00:00,Maharashtra,Mumbai,Lower Parel,222,184,200,22,7.9,1.13
2026-05-01,22:00:00,Maharashtra,Mumbai,Dadar,62,108,60,2,4.86,1.03
2026-07-11,11:00:00,Maharashtra,Mumbai,Lower Parel,125,166,119,6,4.67,1.0
2026-06-02,00:00:00,Maharashtra,Mumbai,Dadar,54,93,49,5,3.83,1.02
2026-05-27,18:00:00,Maharashtra,Mumbai,Powai,195,150,174,21,6.54,1.19
2026-06-15,23:00:00,Maharashtra,Mumbai,Thane,83,122,78,5,5.45,1.0
2026-05-06,00:00:00,Maharashtra,Mumbai,Lower Parel,72,150,67,5,5.51,1.02
2026-07-16,04:00:00,Maharashtra,Mumbai,Bandra,39,112,34,5,4.26,1.01
2026-06-26,05:00:00,Maharashtra,Mumbai,Borivali,41,173,40,1,4.85,1.0
2026-07-25,05:00:00,Maharashtra,Mumbai,Andheri,65,145,60,5,4.52,1.03
2026-06-30,06:00:00,Maharashtra,Mumbai,Thane,70,102,67,3,5.32,1.02
2026-07-27,05:00:00,Maharashtra,Mumbai,Thane,25,106,23,2,3.98,1.03
2026-05-26,19:00:00,Maharashtra,Mumbai,Lower Parel,244,184,218,26,7.63,1.18
2026-06-09,14:00:00,Maharashtra,Mumbai,Kurla,,206,197,18,6.89,1.1
2026-07-21,11:00:00,Maharashtra,Mumbai,Thane,80,98,74,6,5.44,1.0
2026-05-05,01:00:00,Maharashtra,Mumbai,Dadar,30,90,28,2,4.79,1.0
2026-06-14,00:00:00,Maharashtra,Mumbai,Lower Parel,64,157,56,8,4.6,1.0
2026-07-28,17:00:00,Maharashtra,Mumbai,Andheri,210,151,188,22,6.84,1.2
2026-07-28,19:00:00,,Mumbai,Borivali,257,213,232,25,7.03,1.14
2026-07-15,05:00:00,Maharashtra,Mumbai,Lower Parel,55,157,50,5,4.6,1.01
2026-06-13,05:00:00,Maharashtra,Mumbai,Bandra,41,104,38,3,5.01,1.0
2026-05-24,18:00:00,Maharashtra,Mumbai,Dadar,98,100,92,6,5.48,1.09
2026-05-27,10:00:00,Maharashtra,Mumbai,Andheri,98,129,92,6,5.58,1.01
,21:00:00,Maharashtra,Mumbai,Lower Parel,105,148,98,7,6.05,1.0
2026-06-09,11:00:00,Maharashtra,Mumbai,Lower Parel,128,144,121,7,5.59,1.02
2026-07-28,17:00:00,Maharashtra,Mumbai,Powai,219,155,196,23,,1.16
2026-05-24,08:00:00,Maharashtra,Mumbai,Andheri,140,128,131,9,6.57,1.09
2026-07-19,03:00:00,Maharashtra,Mumbai,Powai,51,132,47,4,3.74,1.0
2026-07-23,10:00:00,Maharashtra,Mumbai,Lower Parel,103,166,98,5,4.33,1.0
2026-06-09,21:00:00,Maharashtra,Mumbai,Andheri,112,141,100,12,5.52,1.0
2026-06-24,09:00:00,Maharashtra,Mumbai,Bandra,135,131,121,14,7.08,1.12
2026-07-10,13:00:00,Maharashtra,Mumbai,Powai,129,109,113,16,6.18,1.1
2026-05-24,04:00:00,Maharashtra,Mumbai,Thane,37,127,35,2,4.71,1.0
2026-06-30,00:00:00,Maharashtra,Mumbai,Kurla,61,164,55,6,4.87,1.0
2026-06-06,13:00:00,Maharashtra,Mumbai,Bandra,139,138,132,7,5.89,1.06
2026-07-07,15:00:00,Maharashtra,Mumbai,Andheri,111,146,102,9,5.94,1.0
2026-07-17,05:00:00,Maharashtra,Mumbai,Dadar,30,113,26,4,4.67,1.02
2026-07-19,11:00:00,Maharashtra,Mumbai,Bandra,75,132,73,2,5.54,1.02
2026-07-20,18:00:00,Maharashtra,Mumbai,Dadar,135,124,118,17,6.89,1.11
2026-06-05,00:00:00,Maharashtra,Mumbai,Thane,53,91,49,4,4.67,1.0
2026-05-06,23:00:00,Maharashtra,Mumbai,Dadar,73,104,68,5,5.5,1.0
2026-05-13,20:00:00,Maharashtra,Mumbai,Andheri,225,153,205,20,8.04,1.2
2026-07-11,18:00:00,Maharashtra,Mumbai,Bandra,153,123,136,17,6.74,1.13
2026-07-08,05:00:00,Maharashtra,Mumbai,Bandra,51,110,47,4,5.84,1.0
2026-06-28,14:00:00,Maharashtra,Mumbai,Bandra,128,109,117,11,7.37,1.09
2026-07-22,09:00:00,Maharashtra,Mumbai,Powai,178,168,165,13,6.39,1.09
2026-06-15,21:00:00,Maharashtra,Mumbai,Dadar,57,105,53,4,5.37,1.0
2026-05-18,03:00:00,Maharashtra,Mumbai,Thane,32,102,29,3,5.82,1.0
2026-05-27,05:00:00,Maharashtra,Mumbai,Bandra,45,116,43,2,3.91,1.0
2026-06-04,17:00:00,Maharashtra,Mumbai,Kurla,324,225,284,40,6.5,1.21
2026-05-13,22:00:00,Maharashtra,Mumbai,Bandra,105,131,99,6,4.64,1.05
2026-06-26,14:00:00,Maharashtra,Mumbai,Thane,117,126,106,11,5.55,1.04
2026-07-06,19:00:00,Maharashtra,Mumbai,Borivali,284,210,256,28,7.48,1.15
2026-06-24,08:00:00,Maharashtra,Mumbai,Borivali,230,187,206,24,6.88,1.19
2026-06-04,22:00:00,Maharashtra,Mumbai,Dadar,67,112,62,5,5.17,1.0
2026-05-19,04:00:00,Maharashtra,Mumbai,Thane,39,98,36,3,4.11,1.0
2026-06-04,15:00:00,Maharashtra,Mumbai,Dadar,76,98,73,3,5.35,1.02
2026-06-06,22:00:00,Maharashtra,Mumbai,Kurla,130,211,115,15,5.05,1.0
2026-06-06,01:00:00,Maharashtra,Mumbai,Bandra,51,109,46,5,4.25,1.02
2026-06-12,18:00:00,Maharashtra,Mumbai,Borivali,275,206,247,28,7.04,1.18
2026-05-13,18:00:00,Maharashtra,Mumbai,Andheri,248,150,221,27,7.41,1.19
2026-06-05,07:00:00,Maharashtra,Mumbai,Powai,193,119,163,30,7.27,1.21
2026-06-01,19:00:00,Maharashtra,Mumbai,Dadar,130,109,125,5,7.93,1.17
2026-07-08,19:00:00,Maharashtra,Mumbai,Powai,203,164,183,20,7.06,1.18
2026-05-03,00:00:00,Maharashtra,Mumbai,Kurla,85,165,78,7,5.44,1.0
2026-05-15,05:00:00,Maharashtra,Mumbai,Borivali,80,167,76,4,4.65,1.0
2026-05-10,13:00:00,Maharashtra,Mumbai,Thane,115,96,104,11,5.71,1.09
2026-07-15,07:00:00,Maharashtra,Mumbai,Thane,113,141,104,9,6.3,1.05
2026-06-28,00:00:00,Maharashtra,Mumbai,Andheri,60,144,53,7,4.67,1.03
2026-07-22,05:00:00,Maharashtra,Mumbai,Thane,35,124,34,1,3.66,1.0
2026-05-14,,Maharashtra,Mumbai,Lower Parel,251,192,231,20,6.82,1.1
2026-07-24,05:00:00,Maharashtra,Mumbai,Lower Parel,56,158,51,5,4.16,1.01
2026-05-09,12:00:00,Maharashtra,Mumbai,Thane,121,122,116,5,5.85,1.03
2026-07-10,18:00:00,Maharashtra,Mumbai,Powai,201,150,182,19,6.79,1.16
2026-06-03,18:00:00,Maharashtra,Mumbai,Kurla,330,217,297,33,8.06,1.18
2026-06-28,12:00:00,Maharashtra,Mumbai,Dadar,83,101,80,3,6.62,1.03
2026-06-20,18:00:00,Maharashtra,Mumbai,Andheri,152,157,147,5,6.51,1.07
2026-06-02,00:00:00,Maharashtra,Mumbai,Kurla,75,180,67,8,4.62,1.05
2026-05-12,05:00:00,Maharashtra,Mumbai,Kurla,93,194,88,5,5.32,1.0
2026-06-10,14:00:00,Maharashtra,Mumbai,Borivali,176,166,155,21,6.42,1.07
2026-06-27,21:00:00,Maharashtra,Mumbai,Kurla,138,196,129,9,4.43,1.0
2026-05-10,04:00:00,Maharashtra,Mumbai,Dadar,30,85,24,6,5.36,1.01
2026-05-12,00:00:00,Maharashtra,Mumbai,Andheri,52,138,50,2,4.93,1.01
2026-07-05,04:00:00,Maharashtra,Mumbai,Lower Parel,72,152,68,4,4.74,1.0
2026-07-27,01:00:00,Maharashtra,Mumbai,Dadar,30,103,30,0,4.75,1.0
2026-06-25,13:00:00,Maharashtra,Mumbai,Andheri,122,154,109,13,6.26,1.02
2026-06-29,14:00:00,Maharashtra,Mumbai,Dadar,100,98,89,11,4.05,1.02
2026-06-02,08:00:00,Maharashtra,Mumbai,Lower Parel,,189,202,24,6.36,1.18
2026-06-25,01:00:00,Maharashtra,Mumbai,Powai,53,127,46,7,5.16,1.08
