Date,Area,Sector_Number,Daily_Ridership,Weather,Vehicle_Availability,Delay_Minutes
2024-01-01,Sector 1,1,1502,Rain,1.0,8.9
2024-01-02,Sector 1,1,1388,Clear,6.6,5.6
2024-01-03,Sector 1,1,1544,Cloudy,1.1,5.1
2024-01-04,Sector 1,1,1561,Rain,1.0,9.7
2024-01-05,Sector 1,1,1313,Cloudy,1.0,6.5
2024-01-06,Sector 1,1,1205,Rain,1.0,12.3
2024-01-07,Sector 1,1,1330,Clear,1.0,5.6
2024-01-08,Sector 1,1,1458,Clear,1.0,3.3
2024-01-09,Sector 1,1,1485,Clear,1.0,6.9
2024-01-10,Sector 1,1,1414,Cloudy,8.1,6.6
2024-01-11,Sector 1,1,1565,Cloudy,1.0,5.3
2024-01-12,Sector 1,1,1558,Cloudy,1.1,5.6
2024-01-13,Sector 1,1,1332,Clear,1.0,4.6
2024-01-14,Sector 1,1,1425,Clear,6.6,3.4
2024-01-15,Sector 1,1,1535,Cloudy,3.4,5.9
2024-01-16,Sector 1,1,1422,Clear,1.0,3.4
2024-01-17,Sector 1,1,1529,Clear,1.0,5.0
2024-01-18,Sector 1,1,1416,Clear,1.0,2.9
2024-01-19,Sector 1,1,1576,Cloudy,1.0,6.4
2024-01-20,Sector 1,1,1331,Clear,4.3,7.3
2024-01-21,Sector 1,1,1321,Clear,1.0,6.2
2024-01-22,Sector 1,1,1445,Rain,1.0,8.6
2024-01-23,Sector 1,1,1611,Clear,1.0,4.2
2024-01-24,Sector 1,1,1493,Cloudy,5.1,1.8
2024-01-25,Sector 1,1,1471,Cloudy,1.0,5.8
2024-01-26,Sector 1,1,1478,Clear,4.2,4.2
2024-01-27,Sector 1,1,1390,Clear,3.4,4.9
2024-01-28,Sector 1,1,1377,Clear,2.6,4.9
2024-01-29,Sector 1,1,1548,Clear,1.0,2.2
2024-01-30,Sector 1,1,1551,Clear,7.3,4.9
2024-01-31,Sector 1,1,1700,Clear,4.0,3.8
2024-02-01,Sector 1,1,1481,Clear,1.4,2.1
2024-02-02,Sector 1,1,1473,Rain,1.0,9.2
2024-02-03,Sector 1,1,1283,Clear,1.0,4.8
2024-02-04,Sector 1,1,1407,Clear,6.9,5.3
2024-02-05,Sector 1,1,1618,Clear,5.2,4.5
